Course,Quota,Category,Institute,Rank
MBBS,All India,SC,"Bhima Bhoi Medical College and Hospital , Balangir,PO - Rajendra College, District- Balangir, Odisha., Odisha, 767002",121247
BDS,All India,EWS,"Burdwan Dental College & Hospital, Burdwan,POWER HOUSE PARA, BURDWAN TOWN.
PURBA BARDHAMAN. W.B- 713101",45788
BDS,All India,OBC,"Burdwan Dental College & Hospital, Burdwan,POWER HOUSE PARA, BURDWAN TOWN.
PURBA BARDHAMAN. W.B- 713101",42358
BDS,All India,Open,"Burdwan Dental College & Hospital, Burdwan,POWER HOUSE PARA, BURDWAN TOWN.
PURBA BARDHAMAN. W.B- 713101",36835
BDS,All India,SC,"Burdwan Dental College & Hospital, Burdwan,POWER HOUSE PARA, BURDWAN TOWN.
PURBA BARDHAMAN. W.B- 713101",154103
BDS,All India,ST,"Burdwan Dental College & Hospital, Burdwan,POWER HOUSE PARA, BURDWAN TOWN.
PURBA BARDHAMAN. W.B- 713101",215233
MBBS,All India,OBC,"CALCUTTA NATIONAL MED COLL,KOLKATA,32, GORACHAND ROAD, PARK CIRCUS, KOLKATA - 700014, West Bengal, 700014",22100
MBBS,All India,Open,"CHIKKABALLAPURA INSTITUTE OF MEDICAL SCIENCES, KARNATAKA,DISTRICT HOSPITAL CAMPUS MARULA SIDDESHWARA SWAMY TEMPLE ROAD CHIKKABALLAPUR KARANATAKA, Karnataka, 562101",22447
MBBS,All India,OBC,"COIMBATORE MEDICAL COLLEGE,COIMBATORE,CIVIL AERODROME POST, AVINASHI ROAD, PEELAMEDU, COIMBATORE, Tamil Nadu, 641014",22629
MBBS,All India,Open,"Chandulal Chandrakar Memorial Government Medical College, Durg,Chandulal Chandrakar Memorial Government Medical College, Kurud Road, Near Rungta College, Kachandur, Chhattisgarh, 490024",22287
MBBS,All India,OBC,"Chhindwara Institute of Medical Sciences,Teachers Colony, Chhindwara, Madhya Pradesh 480001, Madhya Pradesh, 480001",22446
B.Sc. Nursing,B.Sc Nursing All India,EWS,"College of Nursing BHU, VARANASI,The Director Institute of Medical Sciences Banaras Hindu University, Uttar Pradesh, 221005",108216
B.Sc. Nursing,B.Sc Nursing All India,OBC,"College of Nursing BHU, VARANASI,The Director Institute of Medical Sciences Banaras Hindu University, Uttar Pradesh, 221005",100099
B.Sc. Nursing,B.Sc Nursing All India,Open,"College of Nursing BHU, VARANASI,The Director Institute of Medical Sciences Banaras Hindu University, Uttar Pradesh, 221005",98277
B.Sc. Nursing,B.Sc Nursing All India,SC,"College of Nursing BHU, VARANASI,The Director Institute of Medical Sciences Banaras Hindu University, Uttar Pradesh, 221005",193672
B.Sc. Nursing,B.Sc Nursing All India,ST,"College of Nursing BHU, VARANASI,The Director Institute of Medical Sciences Banaras Hindu University, Uttar Pradesh, 221005",310559
B.Sc. Nursing,B.Sc Nursing All India,EWS,"College of Nursing Bhopal Nursing College, BMHRC, BHOPAL,Bhopal Memorial Hospital and Research Centre Raisen  bypass road karond bhopal, Madhya Pradesh, 462038",109713
B.Sc. Nursing,B.Sc Nursing All India,OBC,"College of Nursing Bhopal Nursing College, BMHRC, BHOPAL,Bhopal Memorial Hospital and Research Centre Raisen  bypass road karond bhopal, Madhya Pradesh, 462038",107516
B.Sc. Nursing,B.Sc Nursing All India,Open,"College of Nursing Bhopal Nursing College, BMHRC, BHOPAL,Bhopal Memorial Hospital and Research Centre Raisen  bypass road karond bhopal, Madhya Pradesh, 462038",104452
B.Sc. Nursing,B.Sc Nursing All India,SC,"College of Nursing Bhopal Nursing College, BMHRC, BHOPAL,Bhopal Memorial Hospital and Research Centre Raisen  bypass road karond bhopal, Madhya Pradesh, 462038",193011
B.Sc. Nursing,B.Sc Nursing All India,ST,"College of Nursing Bhopal Nursing College, BMHRC, BHOPAL,Bhopal Memorial Hospital and Research Centre Raisen  bypass road karond bhopal, Madhya Pradesh, 462038",255368
B.Sc. Nursing,B.Sc Nursing All India,OBC,"College of Nursing Dr. RML Hospital, New Delhi,Baba Kharak Singh Marg College of Nursing Dr RML Hospital, Delhi (NCT), 110001 (Female Seat only )",133867
B.Sc. Nursing,B.Sc Nursing All India,Open,"College of Nursing Dr. RML Hospital, New Delhi,Baba Kharak Singh Marg College of Nursing Dr RML Hospital, Delhi (NCT), 110001 (Female Seat only )",132085
B.Sc. Nursing,B.Sc Nursing All India,SC,"College of Nursing Dr. RML Hospital, New Delhi,Baba Kharak Singh Marg College of Nursing Dr RML Hospital, Delhi (NCT), 110001 (Female Seat only )",218797
B.Sc. Nursing,B.Sc Nursing All India,ST,"College of Nursing Dr. RML Hospital, New Delhi,Baba Kharak Singh Marg College of Nursing Dr RML Hospital, Delhi (NCT), 110001 (Female Seat only )",471993
B.Sc. Nursing,B.Sc Nursing All India,Open,"College of Nursing Florence Nightingale CON, New Delhi,collegeofnursinggtbh@gmail.com, Delhi (NCT), 110095 (Female Seat only )",131847
B.Sc. Nursing,B.Sc Nursing All India,SC,"College of Nursing Florence Nightingale CON, New Delhi,collegeofnursinggtbh@gmail.com, Delhi (NCT), 110095 (Female Seat only )",220179
B.Sc. Nursing,B.Sc Nursing Delhi NCR,Open,"College of Nursing Florence Nightingale CON, New Delhi,collegeofnursinggtbh@gmail.com, Delhi (NCT), 110095 (Female Seat only )",408072
B.Sc. Nursing,B.Sc Nursing Delhi NCR,SC,"College of Nursing Florence Nightingale CON, New Delhi,collegeofnursinggtbh@gmail.com, Delhi (NCT), 110095 (Female Seat only )",528950
B.Sc. Nursing,B.Sc Nursing All India,OBC,"College of Nursing Kasturba Hospital, Delhi,College of Nursing Kasturba Hospital Daryganj, Delhi, Delhi (NCT), 110002 (Female Seat only )",135607
B.Sc. Nursing,B.Sc Nursing All India,Open,"College of Nursing Kasturba Hospital, Delhi,College of Nursing Kasturba Hospital Daryganj, Delhi, Delhi (NCT), 110002 (Female Seat only )",134855
B.Sc. Nursing,B.Sc Nursing All India,SC,"College of Nursing Kasturba Hospital, Delhi,College of Nursing Kasturba Hospital Daryganj, Delhi, Delhi (NCT), 110002 (Female Seat only )",224422
B.Sc. Nursing,B.Sc Nursing Delhi NCR,OBC,"College of Nursing Kasturba Hospital, Delhi,College of Nursing Kasturba Hospital Daryganj, Delhi, Delhi (NCT), 110002 (Female Seat only )",942401
B.Sc. Nursing,B.Sc Nursing Delhi NCR,SC,"College of Nursing Kasturba Hospital, Delhi,College of Nursing Kasturba Hospital Daryganj, Delhi, Delhi (NCT), 110002 (Female Seat only )",550692
B.Sc. Nursing,B.Sc Nursing All India,OBC,"College of Nursing LHMC, New Delhi,College of Nursing Lady Hardinge Medical College & Associated Hospitals New Delhi, Delhi (NCT), 110001 (Female Seat only )",126323
B.Sc. Nursing,B.Sc Nursing All India,Open,"College of Nursing LHMC, New Delhi,College of Nursing Lady Hardinge Medical College & Associated Hospitals New Delhi, Delhi (NCT), 110001 (Female Seat only )",125781
B.Sc. Nursing,B.Sc Nursing All India,ST,"College of Nursing LHMC, New Delhi,College of Nursing Lady Hardinge Medical College & Associated Hospitals New Delhi, Delhi (NCT), 110001 (Female Seat only )",337148
B.Sc. Nursing,B.Sc Nursing All India,EWS,"College of Nursing RAK CON, New Delhi,Rajkumari Amrit Kaur College of Nursing Lajpat Nagar IV Near Moolchand Metro Station, Delhi (NCT), 110024 (Female Seat only )",141012
B.Sc. Nursing,B.Sc Nursing All India,OBC,"College of Nursing RAK CON, New Delhi,Rajkumari Amrit Kaur College of Nursing Lajpat Nagar IV Near Moolchand Metro Station, Delhi (NCT), 110024 (Female Seat only )",138275
B.Sc. Nursing,B.Sc Nursing All India,Open,"College of Nursing RAK CON, New Delhi,Rajkumari Amrit Kaur College of Nursing Lajpat Nagar IV Near Moolchand Metro Station, Delhi (NCT), 110024 (Female Seat only )",136588
B.Sc. Nursing,B.Sc Nursing All India,ST,"College of Nursing RAK CON, New Delhi,Rajkumari Amrit Kaur College of Nursing Lajpat Nagar IV Near Moolchand Metro Station, Delhi (NCT), 110024 (Female Seat only )",432134
B.Sc. Nursing,B.Sc Nursing All India,Open,"College of Nursing Safdarjung Hospital, New Delhi,College of Nursing VMMC and Safdarjang Hospital New Delhi, Delhi (NCT), 110029 (Female Seat only )",130296
B.Sc. Nursing,All India,OBC,"College of Nursing, Hindu Rao Hospital, Delhi,COLLEGE OF NURSING , HINDU RAO HOSPITAL ,MALKA GANJ DELHI 110007, Delhi (NCT), 110007",44947
B.Sc. Nursing,All India,Open,"College of Nursing, Hindu Rao Hospital, Delhi,COLLEGE OF NURSING , HINDU RAO HOSPITAL ,MALKA GANJ DELHI 110007, Delhi (NCT), 110007",44805
B.Sc. Nursing,B.Sc Nursing Delhi NCR,Open,"College of Nursing, Hindu Rao Hospital, Delhi,COLLEGE OF NURSING , HINDU RAO HOSPITAL ,MALKA GANJ DELHI 110007, Delhi (NCT), 110007",463963
B.Sc. Nursing,B.Sc Nursing Delhi NCR,SC,"College of Nursing, Hindu Rao Hospital, Delhi,COLLEGE OF NURSING , HINDU RAO HOSPITAL ,MALKA GANJ DELHI 110007, Delhi (NCT), 110007",554559
BDS,All India,EWS,"DC, RIMS, Imphal,PO Lamphelpat, Imphal West District, Manipur, 795004",30982
BDS,All India,OBC,"DC, RIMS, Imphal,PO Lamphelpat, Imphal West District, Manipur, 795004",27933
BDS,All India,Open,"DC, RIMS, Imphal,PO Lamphelpat, Imphal West District, Manipur, 795004",27917
BDS,All India,SC,"DC, RIMS, Imphal,PO Lamphelpat, Imphal West District, Manipur, 795004",158729
BDS,All India,ST,"DC, RIMS, Imphal,PO Lamphelpat, Imphal West District, Manipur, 795004",213577
BDS,All India,OBC,"DR. R. AHMED DENT.COLL & HOSP,KOLKATA,114 AJC BOSE ROAD",38978
BDS,All India,Open,"DR. R. AHMED DENT.COLL & HOSP,KOLKATA,114 AJC BOSE ROAD",37894
BDS,All India,ST,"DR. R. AHMED DENT.COLL & HOSP,KOLKATA,114 AJC BOSE ROAD",221377
MBBS,All India,OBC,"DR.RAJENDRA PRASAD MC, TANDA,Dr.Rajendra Prasad Govt.Medical College Kangra at Tanda, H.P., Himachal Pradesh, 176002",19456
MBBS,All India,SC,"DR.RAJENDRA PRASAD MC, TANDA,Dr.Rajendra Prasad Govt.Medical College Kangra at Tanda, H.P., Himachal Pradesh, 176002",98628
MBBS,All India,Open,"DR.S.C.GOVT MEDICAL COLLEGE,,NANDED,VISHNUPURI NANDED MAHARASHTRA 431606, Maharashtra, 431606",22449
MBBS,All India,SC,"DR.S.C.GOVT MEDICAL COLLEGE,,NANDED,VISHNUPURI NANDED MAHARASHTRA 431606, Maharashtra, 431606",120157
MBBS,All India,OBC,"DR.S.N. MEDICAL COLLEGE, JODHPUR,RESIDENCY ROAD SHASTRI NAGAR JODHPUR RAJASTHAN 342 003, Rajasthan, 342003",17330
BDS,All India,OBC,"Dental Institue, RIMS, Ranchi,Dental College, Rajendra Institute of Medical Sciences, Bariatu, Ranchi, Jharkhand, 843009",39570
BDS,All India,Open,"Dental Institue, RIMS, Ranchi,Dental College, Rajendra Institute of Medical Sciences, Bariatu, Ranchi, Jharkhand, 843009",38043
BDS,All India,SC,"Dental Institue, RIMS, Ranchi,Dental College, Rajendra Institute of Medical Sciences, Bariatu, Ranchi, Jharkhand, 843009",149872
MBBS,All India,Open,"Diphu Medical College & Hospital, Assam,principaldiphu1@gmail.com, Assam, 782462",22706
MBBS,All India,OBC,"Dr. B.R. Ambedkar State Institute of Medical Sciences ,Sector 56 Mohali, Punjab, 160055",22376
MBBS,All India,ST,"Dr. YS Parmar Govt. Medical College, Nahan,Nahan, District Sirmaur, Himachal Pradesh, Himachal Pradesh, 173001",152554
BDS,Non-Resident Indian (AMU) Quota,Open,"Dr. Ziauddin Ahmed Dental College and Hospital,ALIGARH,ALIGARH MUSLIM UNIVERSITY, ALIGARH, Uttar Pradesh, 202002",767135
BDS,Open Seat Quota,Open,"Dr. Ziauddin Ahmed Dental College and Hospital,ALIGARH,ALIGARH MUSLIM UNIVERSITY, ALIGARH, Uttar Pradesh, 202002",30832
MBBS,All India,ST,"Dr.Radhakrishnan Government Medical College, Hamirpur, Agriculture Colony, Hamirpur, Himachal Pradesh 177001",142403
MBBS,All India,Open,"ESI-MC&PGIMS&R, Banglore,ESICMC AND PGIMSR, Rajajinagar, Bengaluru, Karnataka, 560010",22352
BDS,All India,OBC,"ESIC Dental College and Hospital,ESIC Hospital, Sector 15, Rohini, Delhi (NCT), 110089",44080
BDS,All India,ST,"ESIC Dental College and Hospital,ESIC Hospital, Sector 15, Rohini, Delhi (NCT), 110089",216774
BDS,IP University Quota,EWS,"ESIC Dental College and Hospital,ESIC Hospital, Sector 15, Rohini, Delhi (NCT), 110089",83452
BDS,IP University Quota,OBC,"ESIC Dental College and Hospital,ESIC Hospital, Sector 15, Rohini, Delhi (NCT), 110089",73746
BDS,IP University Quota,Open,"ESIC Dental College and Hospital,ESIC Hospital, Sector 15, Rohini, Delhi (NCT), 110089",40729
BDS,IP University Quota,SC,"ESIC Dental College and Hospital,ESIC Hospital, Sector 15, Rohini, Delhi (NCT), 110089",157525
BDS,IP University Quota,ST,"ESIC Dental College and Hospital,ESIC Hospital, Sector 15, Rohini, Delhi (NCT), 110089",287960
BDS,All India,EWS,"ESIC Dental College, Gulbarga,ESIC MEDICAL COLLEGE & HOSPITAL CAMPUS, Sedam Road, Gulbarga, Karnataka, 585106",48792
BDS,All India,OBC,"ESIC Dental College, Gulbarga,ESIC MEDICAL COLLEGE & HOSPITAL CAMPUS, Sedam Road, Gulbarga, Karnataka, 585106",46085
BDS,All India,Open,"ESIC Dental College, Gulbarga,ESIC MEDICAL COLLEGE & HOSPITAL CAMPUS, Sedam Road, Gulbarga, Karnataka, 585106",43916
BDS,All India,SC,"ESIC Dental College, Gulbarga,ESIC MEDICAL COLLEGE & HOSPITAL CAMPUS, Sedam Road, Gulbarga, Karnataka, 585106",134534
BDS,Employees State Insurance Scheme (ESI),OBC,"ESIC Dental College, Gulbarga,ESIC MEDICAL COLLEGE & HOSPITAL CAMPUS, Sedam Road, Gulbarga, Karnataka, 585106",114773
BDS,Employees State Insurance Scheme (ESI),Open,"ESIC Dental College, Gulbarga,ESIC MEDICAL COLLEGE & HOSPITAL CAMPUS, Sedam Road, Gulbarga, Karnataka, 585106",95434
BDS,Employees State Insurance Scheme (ESI),SC,"ESIC Dental College, Gulbarga,ESIC MEDICAL COLLEGE & HOSPITAL CAMPUS, Sedam Road, Gulbarga, Karnataka, 585106",266912
MBBS,All India,ST,"ESIC PGIMSR, Joka, Kolkata, WB,DIAMOND HARBOUR ROAD POST OFFICE JOKA
KOLKATA 700104, West Bengal, 700104",151694
MBBS,All India,EWS,"Employees State Insurance Corporation Medical College, Alwar,ESIC Medical College and Hospital Desoola MIA Alwar Rajasthan, Rajasthan, 301030",22849
MBBS,Employees State Insurance Scheme (ESI),SC,"Employees State Insurance Corporation Medical College, Alwar,ESIC Medical College and Hospital Desoola MIA Alwar Rajasthan, Rajasthan, 301030",250741
BDS,Jamia Internal Quota,Open,"Faculty of Dentistry, Jamia Millia Islamia, New Delhi,Faculty of Dentistry Jamia Millia Islamia A Central University Maulana Mohammad Ali Jauhar Marg, Delhi (NCT), 110025",64537
BDS,Muslim OBC Quota,OBC,"Faculty of Dentistry, Jamia Millia Islamia, New Delhi,Faculty of Dentistry Jamia Millia Islamia A Central University Maulana Mohammad Ali Jauhar Marg, Delhi (NCT), 110025",33889
BDS,Muslim Quota,Open,"Faculty of Dentistry, Jamia Millia Islamia, New Delhi,Faculty of Dentistry Jamia Millia Islamia A Central University Maulana Mohammad Ali Jauhar Marg, Delhi (NCT), 110025",38325
BDS,Muslim ST Quota,ST,"Faculty of Dentistry, Jamia Millia Islamia, New Delhi,Faculty of Dentistry Jamia Millia Islamia A Central University Maulana Mohammad Ali Jauhar Marg, Delhi (NCT), 110025",265726
BDS,Muslim Women Quota,Open,"Faculty of Dentistry, Jamia Millia Islamia, New Delhi,Faculty of Dentistry Jamia Millia Islamia A Central University Maulana Mohammad Ali Jauhar Marg, Delhi (NCT), 110025",38884
BDS,Open Seat Quota,Open,"Faculty of Dentistry, Jamia Millia Islamia, New Delhi,Faculty of Dentistry Jamia Millia Islamia A Central University Maulana Mohammad Ali Jauhar Marg, Delhi (NCT), 110025",31246
MBBS,All India,SC,"Fakhruddin Ali Ahmed Medical College, Barpeta,Jania Road, Jotigaon, Barpeta, Assam, Assam, 781301",121329
MBBS,All India,OBC,"GANDHI MEDICAL COLLEGE, BHOPAL,Royal Market Sultania Road Bhopal, Madhya Pradesh, 462001",21520
BDS,All India,OBC,"GDC,PT.BDS UNIV.OF HEALTH SCI,ROHTAK,Post Graduate Institute of Dental Sciences, Rohtak, Haryana, 124001",43354
BDS,All India,Open,"GDC,PT.BDS UNIV.OF HEALTH SCI,ROHTAK,Post Graduate Institute of Dental Sciences, Rohtak, Haryana, 124001",40389
BDS,All India,SC,"GDC,PT.BDS UNIV.OF HEALTH SCI,ROHTAK,Post Graduate Institute of Dental Sciences, Rohtak, Haryana, 124001",161372
BDS,All India,ST,"GDC,PT.BDS UNIV.OF HEALTH SCI,ROHTAK,Post Graduate Institute of Dental Sciences, Rohtak, Haryana, 124001",169556
MBBS,All India,SC,"GMC, Azamgarh, UP,Government Medical College and Super Facility Hospital Chakrapanpur Post Office-Kanaila Azamgarh, Uttar Pradesh, 276128",108086
MBBS,All India,Open,"GMC, Shahjhanpur,AUTONOMOUS STATE MEDICAL COLLEGE ALLIED PANDIT RAM PRASAD BISMIL HOSPITAL SHAHJAHANPUR UTTAR PRADESH, Uttar
Pradesh, 242001",22370
MBBS,All India,OBC,"GMERS Medical College, Morbi,Gibson middle school, Opp railway station, Morbi, Gujarat, 363641",22684
MBBS,All India,Open,"GMERS Medical College, Morbi,Gibson middle school, Opp railway station, Morbi, Gujarat, 363641",22671
MBBS,All India,ST,"GMERS Medical College, Morbi,Gibson middle school, Opp railway station, Morbi, Gujarat, 363641",153137
MBBS,All India,Open,"GMERS Medical College, Navsari,Adarsh Nivasi Shala Campus, At & Po. - Khambhlav, Aat, Ta - Jalalpore, Dist - Navsari., Gujarat, 396403",22665
MBBS,All India,SC,"GMERS Medical College, Navsari,Adarsh Nivasi Shala Campus, At & Po. - Khambhlav, Aat, Ta - Jalalpore, Dist - Navsari., Gujarat, 396403",120556
MBBS,All India,SC,"GMERS Medical College, Panchmahal Godhra,Government Engineering College Campus, Godhra Lunawada Road, Chabanpur, Godhra, Gujarat, 389001",108251
MBBS,All India,EWS,"GMERS Medical College, Porbandar,Nr. Maharani Rupaliba Lady Hospital, ST bus station road, Porbandar, Gujarat, 360575",23272
MBBS,All India,SC,"GMERS Medical College, Porbandar,Nr. Maharani Rupaliba Lady Hospital, ST bus station road, Porbandar, Gujarat, 360575",120431
MBBS,All India,OBC,"GMERS Medical College, Rajpipla,GMERS Medical College, Rajpipla Near Jakat Naka, Vadia Palace, Rajpipla
Dist Narmada, GUJARAT., Gujarat, 393145",22712
MBBS,All India,Open,"GMERS Medical College, Rajpipla,GMERS Medical College, Rajpipla Near Jakat Naka, Vadia Palace, Rajpipla
Dist Narmada, GUJARAT., Gujarat, 393145",22681
MBBS,All India,SC,"GMERS Medical College, Rajpipla,GMERS Medical College, Rajpipla Near Jakat Naka, Vadia Palace, Rajpipla
Dist Narmada, GUJARAT., Gujarat, 393145",112933
MBBS,All India,ST,"GMERS Medical College, Rajpipla,GMERS Medical College, Rajpipla Near Jakat Naka, Vadia Palace, Rajpipla
Dist Narmada, GUJARAT., Gujarat, 393145",153366
BDS,All India,OBC,"GOA DENTAL COLLEGE & HOSPITAL, GOA,Bambolim,Goa, Goa, 403202",46205
BDS,All India,Open,"GOA DENTAL COLLEGE & HOSPITAL, GOA,Bambolim,Goa, Goa, 403202",44183
BDS,All India,SC,"GOA DENTAL COLLEGE & HOSPITAL, GOA,Bambolim,Goa, Goa, 403202",157181
BDS,All India,ST,"GOA DENTAL COLLEGE & HOSPITAL, GOA,Bambolim,Goa, Goa, 403202",216907
MBBS,All India,Open,"GOVERMENT MEDICAL COLLEGE NANDURBAR MAHARARASTRA,DISTRICT CIVIL HOSPITAL CAMPUS SAKRI ROAD NANDURBAR, Maharashtra, 425412",22544
MBBS,All India,SC,"GOVERNMENT MEDICAL COLLEGE, LATUR,Government Medical College, Latur, Behind Old Railway Station, Near Marwadi Rajasthan Vidyalaya, Lat, Maharashtra, 413512",121012
BDS,All India,Open,"GOVT DEN COLL DENTAL WING PATIALA,Govt.Dental College and Hospital,Patiala, Punjab, 147001",42817
BDS,All India,SC,"GOVT DEN COLL DENTAL WING PATIALA,Govt.Dental College and Hospital,Patiala, Punjab, 147001",162670
BDS,All India,EWS,"GOVT DENTAL COLLEGE Kannur,Pariyaram Medical College P O, Kannur, Kerala- 670503., Kerala, 670503",51356
BDS,All India,OBC,"GOVT DENTAL COLLEGE Kannur,Pariyaram Medical College P O, Kannur, Kerala- 670503., Kerala, 670503",49285
BDS,All India,Open,"GOVT DENTAL COLLEGE Kannur,Pariyaram Medical College P O, Kannur, Kerala- 670503., Kerala, 670503",49119
BDS,All India,SC,"GOVT DENTAL COLLEGE Kannur,Pariyaram Medical College P O, Kannur, Kerala- 670503., Kerala, 670503",165159
MBBS,All India,OBC,"GOVT MEDICAL COLLEGE, WANAPARTHY ,Marrikunta, Pebbair Road, Wanaparthy District, Telangana state., Telangana, 509103",22719
BDS,All India,EWS,"GOVT. COLLEGE OF DENTISTRY, INDORE,1 Sardar Patel Marg
Indore",46412
BDS,All India,OBC,"GOVT. COLLEGE OF DENTISTRY, INDORE,1 Sardar Patel Marg
Indore",44951
BDS,All India,Open,"GOVT. COLLEGE OF DENTISTRY, INDORE,1 Sardar Patel Marg
Indore",42989
BDS,All India,SC,"GOVT. COLLEGE OF DENTISTRY, INDORE,1 Sardar Patel Marg
Indore",154891
BDS,All India,ST,"GOVT. COLLEGE OF DENTISTRY, INDORE,1 Sardar Patel Marg
Indore",223854
BDS,All India,OBC,"GOVT. D.C. & RESEARCH INST,BANGALORE,FORT, VICTORIA HOSPITAL CAMPUS, BANGALORE",46116
BDS,All India,Open,"GOVT. D.C. & RESEARCH INST,BANGALORE,FORT, VICTORIA HOSPITAL CAMPUS, BANGALORE",41863
BDS,All India,ST,"GOVT. D.C. & RESEARCH INST,BANGALORE,FORT, VICTORIA HOSPITAL CAMPUS, BANGALORE",199503
BDS,All India,OBC,"GOVT. DC & RESEARCH INSt., BELLARY,GOVT DENTAL COLLEGE AND RI, VIMS CAMPUS, CANTONMENT BELLARY",50127
BDS,All India,Open,"GOVT. DC & RESEARCH INSt., BELLARY,GOVT DENTAL COLLEGE AND RI, VIMS CAMPUS, CANTONMENT BELLARY",46105
BDS,All India,ST,"GOVT. DC & RESEARCH INSt., BELLARY,GOVT DENTAL COLLEGE AND RI, VIMS CAMPUS, CANTONMENT BELLARY",236746
BDS,All India,OBC,"GOVT. DENTAL COLL.& HOSP., JAMNAGAR,Opp. City Police Line,
Navagam Ghed, Jamnagar, Gujarat, 361008",39636
BDS,All India,Open,"GOVT. DENTAL COLL.& HOSP., JAMNAGAR,Opp. City Police Line,
Navagam Ghed, Jamnagar, Gujarat, 361008",38857
BDS,All India,SC,"GOVT. DENTAL COLL.& HOSP., JAMNAGAR,Opp. City Police Line,
Navagam Ghed, Jamnagar, Gujarat, 361008",158490
BDS,All India,ST,"GOVT. DENTAL COLL.& HOSP., JAMNAGAR,Opp. City Police Line,
Navagam Ghed, Jamnagar, Gujarat, 361008",226388
BDS,All India,Open,"GOVT. DENTAL COLLEGE & HOSP,AHMEDABAD,NEW CIVIL HOSPITAL CAMPUS, ASARWA, AHMEDABAD, Gujarat, 380016",40048
BDS,All India,ST,"GOVT. DENTAL COLLEGE & HOSP,AHMEDABAD,NEW CIVIL HOSPITAL CAMPUS, ASARWA, AHMEDABAD, Gujarat, 380016",249669
BDS,All India,OBC,"GOVT. DENTAL COLLEGE & HOSP.,AURANGABAD,Government Medical College and Hospital Campus Dhanwantari Nagar Ghati Aurangabad, Maharashtra, 431001",46458
