,Institue
15,"AIIMS
Bathinda
,Jodhpur Romana near Giani Zail Singh College Mandi Dabwali Road Bathinda, Punjab, 151001"
16,"AIIMS
Bilaspur Changar Palasiya n, Himachal Pradesh, All India Institute of Medical Sciences AIIMS
Bilaspur Kothipur a BILASPU R
Himachal Pradesh 174001,
Himachal Pradesh, 174001"
17,"AIIMS
Guwahati
,PO- CHANG SARI, DISTRIC T- KAMRU P,
Assam, 781101"
18,"AIIMS
Jammu,A IIMS
Vijaypur Samba Jammu, Jammu And Kashmir, 18410"
19,"AIIMS
Mangala giri ,ALL INDIA INSTITU TE OF MEDICA L SCIENC ES NEAR TADEPA LLI MANGAL AGIRI GUNTU R (Dt) ANDHRA PRADES H,
Andhra Pradesh, 522503"
20,"AIIMS
Rajkot,M BBS
admissio n cell Room No.3,
Ground floor, AYUSH,
Permane nt Campus, AIIMS
Rajkot, Khanderi
, Gujarat, 360006"
21,"AIIMS Bathinda  , Jodhpur Romana near Giani Zail Singh College Mandi Dabwali Road Bathinda, Punjab, 151001"
22,"AIIMS Bathinda ,Jodhpur Romana near Giani Zail Singh College Mandi Dabwali Road Bathinda, Punjab, 151001"
23,"AIIMS Bilaspur Changar Palasiyan, Himachal Pradesh , All India Institute of Medical Sciences AIIMS
Bilaspur Kothipura BILASPUR Himachal Pradesh 174001, Himachal Pradesh, 174001"
24,"AIIMS Bilaspur Changar Palasiyan, Himachal Pradesh , All India Institute of Medical Sciences AIIMS
Kothipura Bilaspur Himachal Pradesh 174001, Himachal
Pradesh, 174001"
25,"AIIMS Bilaspur Changar Palasiyan, Himachal Pradesh,All India Institute of Medical Sciences AIIMS
Bilaspur Kothipura BILASPUR Himachal Pradesh 174001, Himachal Pradesh, 174001"
26,"AIIMS Bilaspur Changar Palasiyan, Himachal Pradesh,All India Institute of Medical Sciences AIIMS
Kothipura Bilaspur Himachal Pradesh 174001, Himachal Pradesh, 174001"
27,"AIIMS Guahawti , PO- CHANGSARI, DISTRICT-KAMRUP,
Assam, 781101"
28,"AIIMS Guahawti,PO-CHANGSARI, DISTRICT-KAMRUP, Assam, 781101"
29,"AIIMS Guwahati,PO-CHANGSARI, DISTRICT-KAMRUP, Assam, 781101"
30,"AIIMS Jammu , AIIMS
Vijaypur Samba Jammu, Jammu And Kashmir, 18410"
31,"AIIMS Jammu,AIIMS Vijaypur Samba Jammu, Jammu And Kashmir, 18410"
32,"AIIMS Mangalagiri  , ALL INDIA INSTITUTE OF MEDICAL SCIENCES NEAR TADEPALLI MANGALAGIRI GUNTUR (Dt) ANDHRA PRADESH,
Andhra Pradesh, 522503"
33,"AIIMS Mangalagiri ,ALL INDIA INSTITUTE OF MEDICAL SCIENCES NEAR TADEPALLI
MANGALAGIRI GUNTUR (Dt)
ANDHRA PRADESH, Andhra Pradesh, 522503"
34,"AIIMS Rajkot , MBBS admission cell Room No.3, Ground floor, AYUSH, Permanent Campus, AIIMS Rajkot, Khanderi, Gujarat, 360006"
35,"AIIMS Rajkot , Temporary Campus AIIMS Rajkot Opposite PMSSY building
PDU MEdical college campus Civil hospital Ra, Gujarat, 360001"
36,"AIIMS Rajkot,MBBS admission cell Room No.3, Ground floor, AYUSH, Permanent Campus, AIIMS Rajkot, Khanderi, Gujarat, 360006"
37,"AIIMS Rajkot,Temporary Campus AIIMS Rajkot Opposite PMSSY building
PDU MEdical college campus Civil hospital Ra, Gujarat, 360001"
38,"AIIMS,
Bhubane swar,AT
- Sijua, POST - DUMUD UMA, BHUBAN ESWAR- 751019,
Odisha, 751019"
39,"AIIMS,
Bibi Nagar, Hyderab ad,AIIMS
Bibinagar (Hyderab ad Metropoli tan Region) Telangan a 508126,
Telangan a, 508126"
40,"AIIMS,
Deogarh
,AIIMS
Deoghar Devipur, Jharkhan d
India, PIN - 814152,
Jharkhan d, 814152"
41,"AIIMS,
Gorakhp ur ,AIIMS
Gorakhp ur, Medical College Building, Kunragh at, Gorakhp ur, Uttar Pradesh, 273008"
42,"AIIMS,
Jodhpur, BASNI PHASE - II, JODHPU R- 342005,
Rajastha n, 342005"
43,"AIIMS,
Kalyani, NH-34
Connect or, Basantap ur, Saguna, Kalyani, 741245,
West Bengal, India, West Bengal, 741245"
44,"AIIMS,
Madurai, AIIMS MADUR
AI, Tamil Nadu, 625008"
45,"AIIMS,
Nagpur,P LOT NO 2 SECTOR 20 MIHAN NAGPU R,
Maharas htra, 441108"
46,"AIIMS,
New Delhi,AII MS ANSARI NAGAR EAST AUROBI NDO MARG NEW DELHI 110029,
Delhi (NCT), 110029"
47,"AIIMS,
Patna,Ph ulwarisha rif, Patna, Bihar- 801507,
Bihar, 801507"
48,"AIIMS,
Rai Bareli ,All India Institute of Medical Sciences Raebarel i, Uttar Pradesh, 229405"
49,"AIIMS,
Raipur,T atibandh, G E
Road, Raipur Chhattisg arh, Pin - 492099,
Chhattisg arh, 492099"
50,"AIIMS,
Rishikes h ,ALL INDIA INSTITU TE OF MEDICA L SCIENC ES, RISHIKE SH
Uttarakh and - 249203,
Uttarakh and, 249203"
51,"AIIMS, Bhubaneswar
, AT - Sijua, POST - DUMUDUMA, BHUBANESWAR-
751019, Odisha,
751019"
52,"AIIMS, Bhubaneswar,AT - Sijua, POST - DUMUDUMA, BHUBANESWAR-751019,
Odisha, 751019"
53,"AIIMS, Bibi Nagar, Hyderabad , AIIMS Bibinagar (Hyderabad Metropolitan Region) Telangana
508126, Telangana,
508126"
54,"AIIMS, Bibi Nagar, Hyderabad,AIIMS Bibinagar (Hyderabad Metropolitan Region) Telangana
508126, Telangana, 508126"
55,"AIIMS, Deogarh  , AIIMS Deoghar Devipur, Jharkhand India, PIN - 814152,
Jharkhand, 814152"
56,"AIIMS, Deogarh  , PANCHAYAT TRAINING INSTITUTE DABURGRAM JASIDIH DEOGHAR JHARKHAND-814142 (AIIMS TEMPORARY CAMPUS)"
57,"AIIMS, Deogarh ,AIIMS Deoghar Devipur, Jharkhand India, PIN - 814152, Jharkhand, 814152"
58,"AIIMS, Deogarh ,PANCHAYAT TRAINING INSTITUTE DABURGRAM JASIDIH DEOGHAR JHARKHAND-814142 (AIIMS TEMPORARY CAMPUS)"
59,"AIIMS, Gorakhpur  , AIIMS Gorakhpur, Medical College Building, Kunraghat, Gorakhpur, Uttar Pradesh, 273008"
60,"AIIMS, Gorakhpur ,AIIMS Gorakhpur, Medical College Building, Kunraghat, Gorakhpur, Uttar Pradesh, 273008"
61,"AIIMS, Jodhpur , BASNI PHASE - II, JODHPUR-342005,
Rajasthan, 342005"
62,"AIIMS, Jodhpur,BASNI PHASE - II, JODHPUR-342005, Rajasthan, 342005"
63,"AIIMS, Kalyani , NH- 34 Connector, Basantapur, Saguna, Kalyani, 741245, West Bengal, India, West Bengal, 741245"
64,"AIIMS, Kalyani,NH-34 Connector, Basantapur, Saguna, Kalyani, 741245, West Bengal, India, West Bengal, 741245"
65,"AIIMS, Madurai , AIIMS MADURAI,
Tamil Nadu, 625008"
66,"AIIMS, Madurai,AIIMS MADURAI, Tamil Nadu, 625008"
67,"AIIMS, Nagpur , PLOT NO 2 SECTOR 20 MIHAN NAGPUR,
Maharashtra, 441108"
68,"AIIMS, Nagpur,PLOT NO 2 SECTOR 20 MIHAN NAGPUR, Maharashtra, 441108"
69,"AIIMS, New Delhi , AIIMS ANSARI NAGAR EAST AUROBINDO MARG NEW DELHI 110029,
Delhi (NCT), 110029"
70,"AIIMS, New Delhi,AIIMS ANSARI NAGAR EAST AUROBINDO MARG NEW DELHI 110029, Delhi (NCT), 110029"
71,"AIIMS, Patna , Phulwarisharif, Patna, Bihar-801507, Bihar, 801507"
72,"AIIMS, Patna , Phulwarisharif, Patna- 801507, Bihar,
801507"
73,"AIIMS, Patna,Phulwarisharif, Patna, Bihar-801507, Bihar, 801507"
74,"AIIMS, Patna,Phulwarisharif, Patna-801507, Bihar, 801507"
75,"AIIMS, Rai Bareli  , All India Institute of Medical Sciences Raebareli, Uttar Pradesh, 229405"
76,"AIIMS, Rai Bareli ,All India Institute of Medical Sciences Raebareli, Uttar Pradesh, 229405"
77,"AIIMS, Raipur , Tatibandh, G E Road, Raipur
Chhattisgarh, Pin - 492099, Chhattisgarh,
492099"
78,"AIIMS, Raipur,Tatibandh, G E Road, Raipur Chhattisgarh, Pin - 492099, Chhattisgarh, 492099"
79,"AIIMS, Rishikesh  , ALL INDIA INSTITUTE OF MEDICAL SCIENCES, RISHIKESH
Uttarakhand - 249203, Uttarakhand,
249203"
80,"AIIMS, Rishikesh ,ALL INDIA INSTITUTE OF MEDICAL SCIENCES, RISHIKESH
Uttarakhand - 249203, Uttarakhand, 249203"
81,"AIIMS-
Bhopal,, SAKET NAGAR BHOPAL
, Madhya Pradesh, 462020"
82,"AIIMS-Bhopal, , SAKET NAGAR
BHOPAL, Madhya Pradesh, 462020"
83,"AIIMS-Bhopal,,SAKET NAGAR BHOPAL, Madhya Pradesh, 462020"
84,"ANUGR AH NARAYA N MAGAD H MEDICA L COLLEG E, GAYA,S HERGH ATIROA D, GAYA,
Bihar, 823001"
85,"ANUGRAH NARAYAN MAGADH MEDICAL COLLEGE, GAYA , SHERGHATIROAD, GAYA, Bihar, 823001"
86,"ANUGRAH NARAYAN MAGADH MEDICAL COLLEGE, GAYA,SHERGHATIROAD, GAYA, Bihar, 823001"
87,"ASSAM MEDICA L COLLEG E, DIBRUG ARH,Bor
bari, Dibrugar h, Assam, 786002"
88,"ASSAM MEDICAL COLLEGE, DIBRUGARH ,
Borbari, Dibrugarh, Assam, 786002"
89,"ASSAM MEDICAL COLLEGE, DIBRUGARH,Borbari, Dibrugarh, Assam, 786002"
90,"ATAL BIHARI VAJPAY EE GOVER NMENT MEDICA L COLLEG E, VIDISHA
,NH 86 INFRON T OF KHEL PARISA R SANCHI ROAD VIDISHA
, Madhya Pradesh, 464001"
91,"ATAL BIHARI VAJPAYEE GOVERNMENT MEDICAL COLLEGE, VIDISHA , NH 86 INFRONT OF KHEL PARISAR SANCHI ROAD VIDISHA,
Madhya Pradesh, 464001"
92,"ATAL BIHARI VAJPAYEE GOVERNMENT MEDICAL COLLEGE, VIDISHA,NH 86 INFRONT OF KHEL PARISAR SANCHI ROAD VIDISHA, Madhya Pradesh, 464001"
93,"Aarupad ai Veedu Medical College and Hospt., Puduche rry,PON DY - CUDDAL ORE MAIN ROAD, KIRUMA MPAKKA M, PUDUC HERRY,
Puduche rry, 607403"
94,"Aarupadai Veedu Medical College and Hospt., Puducherry , PONDY - CUDDALORE MAIN ROAD, KIRUMAMPAKKAM, BAHOUR COMMUNE PANCHAYAT, PUDUCHERRY, 607402"
95,"Aarupadai Veedu Medical College and Hospt., Puducherry , PONDY - CUDDALORE MAIN ROAD, KIRUMAMPAKKAM, PUDUCHERRY,
Puducherry, 607403"
96,"Aarupadai Veedu Medical College and Hospt., Puducherry,PONDY - CUDDALORE MAIN ROAD, KIRUMAMPAKKAM, BAHOUR COMMUNE PANCHAYAT, PUDUCHERRY, 607402"
97,"Aarupadai Veedu Medical College and Hospt., Puducherry,PONDY - CUDDALORE MAIN ROAD, KIRUMAMPAKKAM, PUDUCHERRY, Puducherry, 607403"
98,"Amrita Institute of Medical Science, Kochi , Amrita School of Medicine
Amrita Institute of Medical Sciences AIMS Ponekkara P.O Kochi, Kerala, 682041"
99,"Amrita Institute of Medical Science, Kochi,A mrita School of Medicine Amrita Institute of Medical Sciences AIMS
Ponekkar a P.O
Kochi, Kerala, 682041"
100,"Amrita Institute of Medical Science, Kochi,Amrita School of Medicine Amrita Institute of Medical Sciences
AIMS Ponekkara P.O Kochi, Kerala, 682041"
101,"Amrita School of Dentistry, Kochi , Amrita School of Dentistry, Amrita Institute of Medical Sciences (AIMS), AIMS Ponekkara P.O, Kochi, Kerala, 682041"
102,"Amrita School of Dentistry, Kochi,A mrita School of Dentistry, Amrita Institute of Medical Sciences (AIMS), AIMS
Ponekkar a P.O,
Kochi, Kerala, 682041"
103,"Amrita School of Dentistry, Kochi,Amrita School of Dentistry, Amrita Institute of Medical Sciences (AIMS), AIMS Ponekkara P.O, Kochi, Kerala, 682041"
104,"Amrita School of Medicine Faridaba d,Mata Amritana ndmayi Marg, Sector- 88,
Faridaba d, Haryana, 121002"
105,"Amrita School of Medicine Faridabad , Mata Amritanandmayi Marg, Sector-88, Faridabad, Haryana, 121002"
106,"Amrita School of Medicine Faridabad,Mata Amritanandmayi Marg, Sector-88, Faridabad, Haryana, 121002"
107,"Andama n and Nicobar Islands Institute of Medical S,Directo r ANIIMS, DHS
Annexe Building, Atlanta Point, Port Blair- 744104,
Andama n And Nicobar Islands, 744104"
108,"Andaman and Nicobar Islands Institute of Medical S , Director ANIIMS, DHS Annexe Building, Atlanta Point, Port Blair- 744104, Andaman And Nicobar Islands, 744104"
109,"Andaman and Nicobar Islands Institute of Medical S,Director ANIIMS, DHS Annexe Building, Atlanta Point, Port Blair-744104, Andaman And Nicobar Islands, 744104"
110,"Andhra Medical College, Visakhap atnam,M AHARAN I PETA NEAR COLLEC TORATE KGH CAMPU S VISAKH APATNA M,
Andhra Pradesh, 530002"
111,"Andhra Medical College, Visakhapatnam , MAHARANI PETA NEAR COLLECTORATE KGH CAMPUS VISAKHAPATNAM,
Andhra Pradesh, 530002"
112,"Andhra Medical College, Visakhapatnam,MAHARANI PETA NEAR COLLECTORATE
KGH CAMPUS
VISAKHAPATNAM, Andhra Pradesh, 530002"
113,"Atal Bihari Vajpayee Institute of Medical Sciences & DR RML HOSPIT AL, NEW DELHI,A BVIMS, Dr. RML
Hospital, B.K.S.
Marg, New Delhi, Delhi (NCT), 110001"
114,"Atal Bihari Vajpayee Institute of Medical Sciences & DR RML HOSPITAL, NEW DELHI , ABVIMS, Dr.
RML Hospital, B.K.S. Marg, New Delhi, Delhi (NCT), 110001"
115,"Atal Bihari Vajpayee Institute of Medical Sciences & DR RML HOSPITAL, NEW DELHI , Post Graduate Institute of Medical Education and Research, Dr.
RML Hospital, B.K.S. Marg, New Delhi, Delhi (NCT), 110001"
116,"Atal Bihari Vajpayee Institute of Medical Sciences & DR RML HOSPITAL, NEW DELHI,ABVIMS, Dr. RML Hospital, B.K.S. Marg, New Delhi, Delhi (NCT), 110001"
117,"Atal Bihari Vajpayee Institute of Medical Sciences & DR RML HOSPITAL, NEW DELHI,Post Graduate Institute of Medical Education and Research, Dr. RML Hospital,
B.K.S. Marg, New Delhi, Delhi (NCT), 110001"
118,"Autonom ous State Medical College
,Etah,NA GLA PADIHA R SIRAO MAHAR ARA LINK, PAC ROAD, SAKEET, ETAH,U. P.- 207001,
Uttar Pradesh, 207001"
119,"Autonom ous State Medical College , Fatehpur
,Autono mous State Medical College Village chittaura near Allipur GT road fatehpur, Uttar Pradesh, 212601"
120,"Autonom ous State Medical College Society , Mirzapur, Piparada rh, Visunder pur, Uttar Pradesh, 231001"
121,"Autonom ous State Medical College, Ghazipur
,Principal Prashasn ik Bhawan MV
Autonom ous State Medical College RTI
Chaurah a Ghazipur
, Uttar Pradesh, 233001"
122,"Autonom ous State Medical College, Pratapga rh,Pure Keshav Rai Gay Ghat Road Pratapga rh, Uttar Pradesh, 230001"
123,"Autonom ous State Medical College, Siddhart hnagar,A utonomo us State Medical College Siddhart hnagar 71 Ashok Marg Village Mudila Naugarh Uttar Prade, Uttar Pradesh, 272207"
124,"Autonom ous State Medical college Society Hardoi,G aura Danda, Sitapur Road, Hardoi, Uttar Pradesh, 241001"
125,"Autonomous State Medical College , Fatehpur , Autonomous State Medical College Village chittaura near Allipur GT road fatehpur, Uttar Pradesh, 212601"
126,"Autonomous State Medical College , Fatehpur,Autonomous State Medical College Village chittaura near Allipur GT road fatehpur, Uttar Pradesh, 212601"
127,"Autonomous State Medical College ,Etah
, NAGLA PADIHAR SIRAO MAHARARA LINK, PAC ROAD, SAKEET, ETAH,U.P.-
207001, Uttar
Pradesh, 207001"
128,"Autonomous State Medical College ,Etah,NAGLA PADIHAR SIRAO MAHARARA LINK, PAC ROAD, SAKEET, ETAH,U.P.- 207001, Uttar Pradesh, 207001"
129,"Autonomous State Medical College Society , Mirzapur , Piparadarh, Visunderpur, Uttar Pradesh, 231001"
130,"Autonomous State Medical College Society , Mirzapur,Piparadarh, Visunderpur, Uttar Pradesh, 231001"
131,"Autonomous State Medical College, Ghazipur , Principal Prashasnik Bhawan MV Autonomous State Medical College RTI Chauraha Ghazipur, Uttar Pradesh, 233001"
132,"Autonomous State Medical College, Ghazipur,Principal Prashasnik Bhawan
MV Autonomous State Medical College RTI Chauraha
Ghazipur, Uttar Pradesh, 233001"
133,"Autonomous State Medical College, Pratapgarh , Pure Keshav Rai Gay Ghat Road Pratapgarh, Uttar Pradesh, 230001"
134,"Autonomous State Medical College, Pratapgarh,Pure Keshav Rai Gay Ghat Road Pratapgarh, Uttar Pradesh, 230001"
135,"Autonomous State Medical College, Siddharthnagar , Autonomous State Medical College Siddharthnagar  71 Ashok Marg Village Mudila
Naugarh Uttar Prade, Uttar Pradesh, 272207"
136,"Autonomous State Medical College, Siddharthnagar,Autonomous State Medical College Siddharthnagar
71 Ashok Marg Village Mudila Naugarh Uttar Prade, Uttar Pradesh, 272207"
137,"Autonomous State Medical college Society Hardoi , Gaura Danda, Gopamau, Sitapur Road, Hardoi, Uttar Pradesh, 241001"
138,"Autonomous State Medical college Society Hardoi , Gaura Danda, Sitapur Road, Hardoi, Uttar Pradesh, 241001"
139,"Autonomous State Medical college Society Hardoi,Gaura Danda, Gopamau, Sitapur Road, Hardoi, Uttar Pradesh, 241001"
140,"Autonomous State Medical college Society Hardoi,Gaura Danda, Sitapur Road, Hardoi, Uttar Pradesh, 241001"
141,"B.J.
Governm ent Medical College, Pune,Sa ssoon Hospital Compou nd, Near Pune Railway station J.P.
Narayan Road, Pune, Maharas htra, 411001"
142,"B.J. Government Medical College, Pune , Sassoon
Hospital Compound, Near Pune Railway station J.P. Narayan Road, Pune, Maharashtra, 411001"
143,"B.J. Government Medical College, Pune,Sassoon Hospital Compound, Near Pune Railway station J.P. Narayan Road, Pune, Maharashtra, 411001"
144,"B.J. MEDICA L COLLEG E, AHMED ABAD,B
J Medical College, New Civil Hospital Campus, Asarwa, Ahmeda bad 380016,
Gujarat, 380016"
145,"B.J. MEDICAL COLLEGE,
AHMEDABAD , B J
Medical College, New Civil Hospital Campus, Asarwa, Ahmedabad 380016,
Gujarat, 380016"
146,"B.J. MEDICAL COLLEGE, AHMEDABAD,B J Medical College, New Civil Hospital Campus, Asarwa, Ahmedabad 380016, Gujarat, 380016"
147,"B.L.D.E
Universit y, Bijapur,S MT BANGAR AMMA SAJJAN CAMPU S B M PATIL ROAD VIJAYAP URA KARNAT AKA,
Karnatak a, 586103"
148,"B.L.D.E University, Bijapur , SMT
BANGARAMMA SAJJAN CAMPUS B M PATIL ROAD VIJAYAPURA KARNATAKA,
Karnataka, 586103"
149,"B.L.D.E University, Bijapur,SMT BANGARAMMA SAJJAN CAMPUS B M PATIL ROAD VIJAYAPURA KARNATAKA, Karnataka, 586103"
150,"B.R.D. MEDICA L COLLEG E, GORAK HPUR,M AHARAJ GANJ ROAD,G ORAKHP
UR, Uttar Pradesh, 273013"
151,"B.R.D. MEDICAL COLLEGE,
GORAKHPUR , MAHARAJGANJ ROAD,GORAKHPUR
, Uttar Pradesh, 273013"
152,"B.R.D. MEDICAL COLLEGE, GORAKHPUR,MAHARAJGANJ ROAD,GORAKHPUR,
Uttar Pradesh, 273013"
153,"B.R.D. MEDICAL COLLEGE, GORAKHPUR,MAHARAJGANJ ROAD,GORAKHPUR, Uttar Pradesh, 273013"
154,"BAHIRAMJEE JIJIBHAI MEDICAL COLLGE, PUNE ,
Sassoon Hospital Compound, Near Pune Railway station
J.P. Narayan Road, Pune, Maharashtra,
411001"
155,"BAHIRAMJEE JIJIBHAI MEDICAL COLLGE, PUNE,Sassoon Hospital Compound, Near Pune Railway station J.P. Narayan Road, Pune, Maharashtra, 411001"
156,"BANKUR A SAMMIL ANI MED COLL,BA NKURA,
Principal, Bankura Sammila ni Medical College, Lokepur, PO-
Kenduadi hi, Bankura, Pin- 722102,
West Bengal, 722102"
157,"BANKURA SAMMILANI MED COLL,BANKURA ,
Principal, Bankura Sammilani Medical College, Lokepur, PO- Kenduadihi, Bankura, Pin-
722102, West Bengal,
722102"
158,"BANKURA SAMMILANI MED COLL,BANKURA,Principal, Bankura Sammilani Medical College, Lokepur, PO- Kenduadihi, Bankura, Pin- 722102, West Bengal, 722102"
159,"BELGAU M INST. OF MEDICA L SCI., BELGAU M,DR B R AMBEDK AR ROAD BELAGA VI.,
Karnatak a, 590001"
160,"BELGAUM INST. OF MEDICAL SCI., BELGAUM , DR B R AMBEDKAR ROAD BELAGAVI.,
Karnataka, 590001"
161,"BELGAUM INST. OF MEDICAL SCI., BELGAUM,DR B R AMBEDKAR ROAD
BELAGAVI., Karnataka, 590001"
162,"BHAARA TH MEDICA L COLLEG E AND HOSPIT AL,173, AGARA M MAIN ROAD , SELAIYU R, TAMBAR AM CHENNA I - 600073,
Tamil Nadu, 600073"
163,"BHAARATH MEDICAL COLLEGE AND HOSPITAL , 173, AGARAM MAIN ROAD , SELAIYUR, TAMBARAM CHENNAI - 600073,
Tamil Nadu, 600073"
164,"BHAARATH MEDICAL COLLEGE AND HOSPITAL,173, AGARAM MAIN ROAD , SELAIYUR, TAMBARAM CHENNAI - 600073, Tamil Nadu, 600073"
165,"BIDAR INSTITU TE OF MEDICA L SCI., BIDAR,B IDAR INSTITU TE OF MEDICA L SCIENC ES BIDAR UDGIR ROAD BIDAR- 585401,
Karnatak a, 585401"
166,"BIDAR INSTITUTE OF MEDICAL SCI.,  BIDAR,BIDAR INSTITUTE OF MEDICAL SCIENCES BIDAR
UDGIR ROAD
BIDAR, Karnataka, 585401"
167,"BIDAR INSTITUTE OF MEDICAL SCI.,  BIDAR,BIDAR INSTITUTE OF MEDICAL SCIENCES BIDAR
UDGIR ROAD
BIDAR-585401, Karnataka, 585401"
168,"BIDAR INSTITUTE OF MEDICAL SCI., BIDAR , BIDAR INSTITUTE OF MEDICAL SCIENCES BIDAR
UDGIR ROAD
BIDAR, Karnataka, 585401"
169,"BIDAR INSTITUTE OF MEDICAL SCI., BIDAR , BIDAR INSTITUTE OF MEDICAL SCIENCES BIDAR
UDGIR ROAD BIDAR-585401,
Karnataka, 585401"
170,"BPS
Govt. Med. College, Sonepat, BPS GOVT MEDICA L COLLEG E FOR WOMEN KHANPU R KALAN SONEPA T,
Haryana, 131305
(Female Seat only
)"
171,"BPS Govt. Med. College, Sonepat , BPS GOVT MEDICAL COLLEGE FOR WOMEN KHANPUR KALAN SONEPAT,
Haryana, 131305 (Female Seat only )"
172,"BPS Govt. Med. College, Sonepat,BPS GOVT MEDICAL COLLEGE FOR WOMEN
KHANPUR KALAN SONEPAT, Haryana, 131305 (Female Seat only )"
173,"BPS Govt. Med. College, Sonepat,BPS GOVT MEDICAL COLLEGE FOR WOMEN KHANPUR KALAN SONEPAT, Haryana, 131305"
174,"BUNDEL KHAND MEDICA L COLLEG E, SAGAR,
Shivaji ward, tili Road, Sagar, Madhya Pradesh, 470001"
175,"BUNDELKHAND MEDICAL COLLEGE,
SAGAR , Shivaji ward, tili Road, Sagar, Madhya Pradesh, 470001"
176,"BUNDELKHAND MEDICAL COLLEGE, SAGAR,Shivaji ward, tili Road, Sagar, Madhya Pradesh, 470001"
177,"BURDW AN MEDICA L COLLEG E,BURD WAN,BU RDWAN MEDICA L COLLEG E, BABURB AG, POST- RAJBATI
, DIST- PURBA BARDHA MAN, PIN- 713104, WEST BENGAL
, West Bengal, 713104"
178,"BURDWAN MEDICAL COLLEGE,BURDWA N , BURDWAN MEDICAL COLLEGE, BABURBAG, POST- RAJBATI, DIST- PURBA BARDHAMAN, PIN- 713104,WEST BENGAL, West
Bengal, 713104"
179,"BURDWAN MEDICAL COLLEGE,BURDWAN,BURDWAN MEDICAL COLLEGE, BABURBAG, POST- RAJBATI, DIST- PURBA BARDHAMAN, PIN-713104,WEST
BENGAL, West Bengal, 713104"
180,"BV
Deemed Uni. Med. College and Hos., Sangli,S angli Miraj Road Wanless wadi Sangli Maharas htra, Maharas htra, 416416"
181,"BV Deemed Uni. Med. College and Hos., Sangli , Sangli Miraj Road Wanlesswadi Sangli Maharashtra, Maharashtra, 416416"
182,"BV Deemed Uni. Med. College and Hos., Sangli,Sangli Miraj Road Wanlesswadi Sangli Maharashtra, Maharashtra, 416416"
183,"BVDU
Dental College and Hospital, Navi Mumbai, Bharati Vidyapee th Dental College and Hospital, Sec.7, Belapur Navi Mumbai., Maharas htra, 400614"
184,"BVDU
Dental College and Hospital, Sangli,S angli- Miraj Road, Wanless wadi Sangli., Maharas htra, 416414"
185,"BVDU Dental College and Hospital, Navi Mumbai , Bharati Vidyapeeth Dental College and Hospital, Sec.7, Belapur Navi Mumbai., Maharashtra, 400614"
186,"BVDU Dental College and Hospital, Navi Mumbai,Bharati Vidyapeeth Dental College and Hospital, Sec.7, Belapur Navi Mumbai., Maharashtra, 400614"
187,"BVDU Dental College and Hospital, Sangli , Sangli-Miraj Road, Wanlesswadi Sangli., Maharashtra, 416414"
188,"BVDU Dental College and Hospital, Sangli,Sangli-Miraj Road, Wanlesswadi Sangli., Maharashtra, 416414"
189,"Bangalor e Medical College and Researc h Institute, K R ROAD FORT BENGAL URU,
Karnatak a, 560002"
190,"Bangalore Medical College and Research Institute , K R ROAD FORT BENGALURU,
Karnataka, 560002"
191,"Bangalore Medical College and Research Institute,K R ROAD FORT BENGALURU, Karnataka, 560002"
